-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 7.4820      Epoch average loss: 8.4259
Total step : 9400      Batch loss: 2.7413      Epoch average loss: 2.6099
Total step : 9500      Batch loss: 2.2234      Epoch average loss: 2.6106
Total step : 9600      Batch loss: 3.1487      Epoch average loss: 2.6091
Total step : 9700      Batch loss: 2.0960      Epoch average loss: 2.6103
Total step : 9800      Batch loss: 2.5222      Epoch average loss: 2.6080
Total step : 9900      Batch loss: 2.6979      Epoch average loss: 2.6082
Total step : 10000      Batch loss: 2.4995      Epoch average loss: 2.6065
Total step : 10100      Batch loss: 2.9291      Epoch average loss: 2.6071
Total step : 10200      Batch loss: 3.0689      Epoch average loss: 2.6034
Total step : 10300      Batch loss: 2.3086      Epoch average loss: 2.6011
Total step : 10400      Batch loss: 2.3997      Epoch average loss: 2.5996

-----Epoch 3 开始测试-----

Epoch: 3    BLEU: 0.1739

-----Epoch 4 开始训练-----

Total step : 10500      Batch loss: 2.9634      Epoch average loss: 2.5830
Total step : 10600      Batch loss: 2.8455      Epoch average loss: 2.4573
Total step : 10700      Batch loss: 2.0372      Epoch average loss: 2.4675
Total step : 10800      Batch loss: 2.9468      Epoch average loss: 2.4629
Total step : 10900      Batch loss: 2.4808      Epoch average loss: 2.4599
Total step : 11000      Batch loss: 2.4664      Epoch average loss: 2.4669
Total step : 11100      Batch loss: 2.4176      Epoch average loss: 2.4625
Total step : 11200      Batch loss: 2.9180      Epoch average loss: 2.4683
Total step : 11300      Batch loss: 2.7918      Epoch average loss: 2.4724
Total step : 11400      Batch loss: 2.2760      Epoch average loss: 2.4660
Total step : 11500      Batch loss: 2.5827      Epoch average loss: 2.4663
Total step : 11600      Batch loss: 2.4520      Epoch average loss: 2.4660
Total step : 11700      Batch loss: 2.0361      Epoch average loss: 2.4685
Total step : 11800      Batch loss: 2.6837      Epoch average loss: 2.4648
Total step : 11900      Batch loss: 2.9049      Epoch average loss: 2.4683
Total step : 12000      Batch loss: 2.8689      Epoch average loss: 2.4651
Total step : 12100      Batch loss: 1.4456      Epoch average loss: 2.4645
Total step : 12200      Batch loss: 2.8989      Epoch average loss: 2.4648
Total step : 12300      Batch loss: 2.1540      Epoch average loss: 2.4632
Total step : 12400      Batch loss: 3.1187      Epoch average loss: 2.4627
Total step : 12500      Batch loss: 2.5556      Epoch average loss: 2.4628
Total step : 12600      Batch loss: 2.9966      Epoch average loss: 2.4598
Total step : 12700      Batch loss: 2.1282      Epoch average loss: 2.4603

-----Epoch 4 开始测试-----

Epoch: 4    BLEU: 0.1874

-----Epoch 5 开始训练-----

Total step : 12800      Batch loss: 2.4222      Epoch average loss: 2.2996
Total step : 12900      Batch loss: 2.4540      Epoch average loss: 2.2942
Total step : 13000      Batch loss: 2.7770      Epoch average loss: 2.3272
Total step : 13100      Batch loss: 2.4671      Epoch average loss: 2.3192
Total step : 13200      Batch loss: 2.6437      Epoch average loss: 2.3209
Total step : 13300      Batch loss: 2.2822      Epoch average loss: 2.3346
Total step : 13400      Batch loss: 2.5400      Epoch average loss: 2.3365
Total step : 13500      Batch loss: 2.6323      Epoch average loss: 2.3391
Total step : 13600      Batch loss: 2.7006      Epoch average loss: 2.3421
Total step : 13700      Batch loss: 1.8608      Epoch average loss: 2.3373
Total step : 13800      Batch loss: 1.7359      Epoch average loss: 2.3405
Total step : 13900      Batch loss: 1.5874      Epoch average loss: 2.3353
Total step : 14000      Batch loss: 3.3145      Epoch average loss: 2.3415
Total step : 14100      Batch loss: 2.8033      Epoch average loss: 2.3426
Total step : 14200      Batch loss: 2.4800      Epoch average loss: 2.3471
Total step : 14300      Batch loss: 2.5925      Epoch average loss: 2.3452
Total step : 14400      Batch loss: 2.0354      Epoch average loss: 2.3445
Total step : 14500      Batch loss: 2.1318      Epoch average loss: 2.3466
Total step : 14600      Batch loss: 2.3822      Epoch average loss: 2.3458
Total step : 14700      Batch loss: 2.1952      Epoch average loss: 2.3461
Total step : 14800      Batch loss: 2.4360      Epoch average loss: 2.3466
Total step : 14900      Batch loss: 1.7536      Epoch average loss: 2.3488
Total step : 15000      Batch loss: 1.7845      Epoch average loss: 2.3475

-----Epoch 5 开始测试-----

Epoch: 5    BLEU: 0.1912

-----Epoch 6 开始训练-----

Total step : 15100      Batch loss: 2.5545      Epoch average loss: 2.1347
Total step : 15200      Batch loss: 2.7381      Epoch average loss: 2.2045
Total step : 15300      Batch loss: 1.6163      Epoch average loss: 2.2233
Total step : 15400      Batch loss: 2.8894      Epoch average loss: 2.2122
Total step : 15500      Batch loss: 2.4775      Epoch average loss: 2.2212
Total step : 15600      Batch loss: 2.7974      Epoch average loss: 2.2235
Total step : 15700      Batch loss: 2.3732      Epoch average loss: 2.2260
Total step : 15800      Batch loss: 2.5267      Epoch average loss: 2.2346
Total step : 15900      Batch loss: 1.7989      Epoch average loss: 2.2366
Total step : 16000      Batch loss: 2.6934      Epoch average loss: 2.2390
Total step : 16100      Batch loss: 2.4640      Epoch average loss: 2.2402
Total step : 16200      Batch loss: 1.7440      Epoch average loss: 2.2424
Total step : 16300      Batch loss: 2.3359      Epoch average loss: 2.2444
Total step : 16400      Batch loss: 2.1765      Epoch average loss: 2.2438
Total step : 16500      Batch loss: 1.7818      Epoch average loss: 2.2455
Total step : 16600      Batch loss: 2.0008      Epoch average loss: 2.2485
Total step : 16700      Batch loss: 2.0097      Epoch average loss: 2.2512
Total step : 16800      Batch loss: 1.9095      Epoch average loss: 2.2494
Total step : 16900      Batch loss: 2.4026      Epoch average loss: 2.2531
Total step : 17000      Batch loss: 2.3642      Epoch average loss: 2.2544
Total step : 17100      Batch loss: 2.0330      Epoch average loss: 2.2521
Total step : 17200      Batch loss: 2.6252      Epoch average loss: 2.2526
Total step : 17300      Batch loss: 2.3622      Epoch average loss: 2.2556

-----Epoch 6 开始测试-----

Epoch: 6    BLEU: 0.2051

-----Epoch 7 开始训练-----

Total step : 17400      Batch loss: 2.6642      Epoch average loss: 2.1166
Total step : 17500      Batch loss: 2.2309      Epoch average loss: 2.1337
Total step : 17600      Batch loss: 2.2341      Epoch average loss: 2.1382
Total step : 17700      Batch loss: 1.4914      Epoch average loss: 2.1357
Total step : 17800      Batch loss: 2.0200      Epoch average loss: 2.1417
Total step : 17900      Batch loss: 1.9745      Epoch average loss: 2.1424
Total step : 18000      Batch loss: 2.0652      Epoch average loss: 2.1525
Total step : 18100      Batch loss: 2.0515      Epoch average loss: 2.1522
Total step : 18200      Batch loss: 2.1985      Epoch average loss: 2.1505
Total step : 18300      Batch loss: 2.1889      Epoch average loss: 2.1543
Total step : 18400      Batch loss: 2.7117      Epoch average loss: 2.1571
Total step : 18500      Batch loss: 2.2285      Epoch average loss: 2.1638
Total step : 18600      Batch loss: 2.4363      Epoch average loss: 2.1637
Total step : 18700      Batch loss: 2.7155      Epoch average loss: 2.1648
Total step : 18800      Batch loss: 2.3763      Epoch average loss: 2.1660
Total step : 18900      Batch loss: 2.1864      Epoch average loss: 2.1661
Total step : 19000      Batch loss: 2.3662      Epoch average loss: 2.1682
Total step : 19100      Batch loss: 1.9645      Epoch average loss: 2.1684
Total step : 19200      Batch loss: 2.7393      Epoch average loss: 2.1710
Total step : 19300      Batch loss: 2.6139      Epoch average loss: 2.1704
Total step : 19400      Batch loss: 1.7984      Epoch average loss: 2.1720
Total step : 19500      Batch loss: 2.2227      Epoch average loss: 2.1728
Total step : 19600      Batch loss: 1.9706      Epoch average loss: 2.1745

-----Epoch 7 开始测试-----

Epoch: 7    BLEU: 0.2110

-----Epoch 8 开始训练-----

Total step : 19700      Batch loss: 2.0445      Epoch average loss: 2.1871
Total step : 19800      Batch loss: 2.4947      Epoch average loss: 2.1024
Total step : 19900      Batch loss: 1.7512      Epoch average loss: 2.0603
Total step : 20000      Batch loss: 2.1911      Epoch average loss: 2.0576
Total step : 20100      Batch loss: 1.9405      Epoch average loss: 2.0677
Total step : 20200      Batch loss: 2.0278      Epoch average loss: 2.0759
Total step : 20300      Batch loss: 2.5518      Epoch average loss: 2.0777
Total step : 20400      Batch loss: 1.8931      Epoch average loss: 2.0807
Total step : 20500      Batch loss: 2.0483      Epoch average loss: 2.0805
Total step : 20600      Batch loss: 2.0556      Epoch average loss: 2.0856
Total step : 20700      Batch loss: 1.8669      Epoch average loss: 2.0879
Total step : 20800      Batch loss: 2.1859      Epoch average loss: 2.0899
Total step : 20900      Batch loss: 2.0107      Epoch average loss: 2.0897
Total step : 21000      Batch loss: 2.1918      Epoch average loss: 2.0916
Total step : 21100      Batch loss: 1.9650      Epoch average loss: 2.0954
Total step : 21200      Batch loss: 2.1296      Epoch average loss: 2.0951
Total step : 21300      Batch loss: 2.2007      Epoch average loss: 2.0969
Total step : 21400      Batch loss: 2.1577      Epoch average loss: 2.0989
Total step : 21500      Batch loss: 2.3492      Epoch average loss: 2.1008
Total step : 21600      Batch loss: 2.0489      Epoch average loss: 2.1016
Total step : 21700      Batch loss: 2.3775      Epoch average loss: 2.1031
Total step : 21800      Batch loss: 1.8691      Epoch average loss: 2.1059
Total step : 21900      Batch loss: 2.6646      Epoch average loss: 2.1045

-----Epoch 8 开始测试-----

Epoch: 8    BLEU: 0.2152

-----Epoch 9 开始训练-----

Total step : 22000      Batch loss: 1.7851      Epoch average loss: 1.9703
Total step : 22100      Batch loss: 2.4551      Epoch average loss: 1.9830
Total step : 22200      Batch loss: 2.1081      Epoch average loss: 1.9879
Total step : 22300      Batch loss: 2.4992      Epoch average loss: 1.9928
Total step : 22400      Batch loss: 2.2342      Epoch average loss: 2.0036
Total step : 22500      Batch loss: 2.0521      Epoch average loss: 2.0062
Total step : 22600      Batch loss: 2.0977      Epoch average loss: 2.0084
Total step : 22700      Batch loss: 2.2954      Epoch average loss: 2.0165
Total step : 22800      Batch loss: 2.0979      Epoch average loss: 2.0186
Total step : 22900      Batch loss: 2.6111      Epoch average loss: 2.0199
Total step : 23000      Batch loss: 1.9162      Epoch average loss: 2.0225
Total step : 23100      Batch loss: 1.7431      Epoch average loss: 2.0233
Total step : 23200      Batch loss: 2.1353      Epoch average loss: 2.0283
Total step : 23300      Batch loss: 2.2673      Epoch average loss: 2.0300
Total step : 23400      Batch loss: 1.9783      Epoch average loss: 2.0286
Total step : 23500      Batch loss: 1.6332      Epoch average loss: 2.0300
Total step : 23600      Batch loss: 2.0174      Epoch average loss: 2.0327
Total step : 23700      Batch loss: 1.9224      Epoch average loss: 2.0361
Total step : 23800      Batch loss: 2.0989      Epoch average loss: 2.0367
Total step : 23900      Batch loss: 1.8741      Epoch average loss: 2.0381
Total step : 24000      Batch loss: 1.5719      Epoch average loss: 2.0390
Total step : 24100      Batch loss: 1.8493      Epoch average loss: 2.0408
Total step : 24200      Batch loss: 1.8397      Epoch average loss: 2.0419

-----Epoch 9 开始测试-----

Epoch: 9    BLEU: 0.2219

-----Epoch 10 开始训练-----

Total step : 24300      Batch loss: 1.7427      Epoch average loss: 1.9449
Total step : 24400      Batch loss: 1.6457      Epoch average loss: 1.9341
Total step : 24500      Batch loss: 1.9310      Epoch average loss: 1.9270
Total step : 24600      Batch loss: 1.9432      Epoch average loss: 1.9327
Total step : 24700      Batch loss: 2.0600      Epoch average loss: 1.9381
Total step : 24800      Batch loss: 1.9057      Epoch average loss: 1.9523
Total step : 24900      Batch loss: 2.3171      Epoch average loss: 1.9531
Total step : 25000      Batch loss: 1.3541      Epoch average loss: 1.9493
Total step : 25100      Batch loss: 2.0438      Epoch average loss: 1.9570
Total step : 25200      Batch loss: 1.3433      Epoch average loss: 1.9574
Total step : 25300      Batch loss: 1.6339      Epoch average loss: 1.9630
Total step : 25400      Batch loss: 2.4408      Epoch average loss: 1.9660
Total step : 25500      Batch loss: 1.8137      Epoch average loss: 1.9684
Total step : 25600      Batch loss: 1.0238      Epoch average loss: 1.9689
Total step : 25700      Batch loss: 1.9034      Epoch average loss: 1.9682
Total step : 25800      Batch loss: 2.5185      Epoch average loss: 1.9737
Total step : 25900      Batch loss: 2.6466      Epoch average loss: 1.9787
Total step : 26000      Batch loss: 1.4706      Epoch average loss: 1.9776
Total step : 26100      Batch loss: 2.1825      Epoch average loss: 1.9783
Total step : 26200      Batch loss: 1.6471      Epoch average loss: 1.9812
Total step : 26300      Batch loss: 1.9778      Epoch average loss: 1.9812
Total step : 26400      Batch loss: 1.7639      Epoch average loss: 1.9833
Total step : 26500      Batch loss: 1.8791      Epoch average loss: 1.9852

-----Epoch 10 开始测试-----

Epoch: 10    BLEU: 0.2316

-----Epoch 11 开始训练-----

Total step : 26600      Batch loss: 1.6875      Epoch average loss: 1.8493
Total step : 26700      Batch loss: 1.7682      Epoch average loss: 1.8834
Total step : 26800      Batch loss: 1.6186      Epoch average loss: 1.8924
Total step : 26900      Batch loss: 1.7574      Epoch average loss: 1.8912
Total step : 27000      Batch loss: 1.8298      Epoch average loss: 1.8968
Total step : 27100      Batch loss: 1.7254      Epoch average loss: 1.8975
Total step : 27200      Batch loss: 1.8038      Epoch average loss: 1.9036
Total step : 27300      Batch loss: 2.0208      Epoch average loss: 1.9022
Total step : 27400      Batch loss: 1.6751      Epoch average loss: 1.8999
Total step : 27500      Batch loss: 1.7700      Epoch average loss: 1.9092
Total step : 27600      Batch loss: 2.0145      Epoch average loss: 1.9128
Total step : 27700      Batch loss: 1.6725      Epoch average loss: 1.9172
Total step : 27800      Batch loss: 1.1133      Epoch average loss: 1.9157
Total step : 27900      Batch loss: 1.2759      Epoch average loss: 1.9168
Total step : 28000      Batch loss: 2.0746      Epoch average loss: 1.9209
Total step : 28100      Batch loss: 1.7208      Epoch average loss: 1.9226
Total step : 28200      Batch loss: 1.9786      Epoch average loss: 1.9250
Total step : 28300      Batch loss: 2.3114      Epoch average loss: 1.9276
Total step : 28400      Batch loss: 1.9806      Epoch average loss: 1.9301
Total step : 28500      Batch loss: 1.9169      Epoch average loss: 1.9281
Total step : 28600      Batch loss: 1.9550      Epoch average loss: 1.9313
Total step : 28700      Batch loss: 2.0717      Epoch average loss: 1.9317
Total step : 28800      Batch loss: 2.1527      Epoch average loss: 1.9341

-----Epoch 11 开始测试-----

Epoch: 11    BLEU: 0.2284

-----Epoch 12 开始训练-----

Total step : 28900      Batch loss: 2.3433      Epoch average loss: 1.8088
Total step : 29000      Batch loss: 1.5358      Epoch average loss: 1.8245
Total step : 29100      Batch loss: 1.5990      Epoch average loss: 1.8347
Total step : 29200      Batch loss: 1.7130      Epoch average loss: 1.8390
Total step : 29300      Batch loss: 2.1744      Epoch average loss: 1.8421
Total step : 29400      Batch loss: 1.8377      Epoch average loss: 1.8561
Total step : 29500      Batch loss: 1.5708      Epoch average loss: 1.8536
Total step : 29600      Batch loss: 1.9232      Epoch average loss: 1.8543
Total step : 29700      Batch loss: 2.5233      Epoch average loss: 1.8586
Total step : 29800      Batch loss: 2.0348      Epoch average loss: 1.8609
Total step : 29900      Batch loss: 1.6580      Epoch average loss: 1.8637
Total step : 30000      Batch loss: 2.1814      Epoch average loss: 1.8673
Total step : 30100      Batch loss: 1.3441      Epoch average loss: 1.8685
Total step : 30200      Batch loss: 2.3478      Epoch average loss: 1.8686
Total step : 30300      Batch loss: 2.7122      Epoch average loss: 1.8714
Total step : 30400      Batch loss: 1.8155      Epoch average loss: 1.8741
Total step : 30500      Batch loss: 1.8365      Epoch average loss: 1.8773
Total step : 30600      Batch loss: 1.7931      Epoch average loss: 1.8777
Total step : 30700      Batch loss: 1.5877      Epoch average loss: 1.8804
Total step : 30800      Batch loss: 1.7844      Epoch average loss: 1.8826
Total step : 30900      Batch loss: 2.1306      Epoch average loss: 1.8825
Total step : 31000      Batch loss: 1.7282      Epoch average loss: 1.8842
Total step : 31100      Batch loss: 1.9979      Epoch average loss: 1.8871

-----Epoch 12 开始测试-----

Epoch: 12    BLEU: 0.2324

-----Epoch 13 开始训练-----

Total step : 31200      Batch loss: 1.2099      Epoch average loss: 1.7537
Total step : 31300      Batch loss: 1.3614      Epoch average loss: 1.7863
Total step : 31400      Batch loss: 1.7409      Epoch average loss: 1.7835
Total step : 31500      Batch loss: 1.9500      Epoch average loss: 1.7943
Total step : 31600      Batch loss: 2.0960      Epoch average loss: 1.7937
Total step : 31700      Batch loss: 1.6917      Epoch average loss: 1.8011
Total step : 31800      Batch loss: 2.1248      Epoch average loss: 1.8074
Total step : 31900      Batch loss: 1.8444      Epoch average loss: 1.8070
Total step : 32000      Batch loss: 1.7293      Epoch average loss: 1.8085
Total step : 32100      Batch loss: 1.6709      Epoch average loss: 1.8151
Total step : 32200      Batch loss: 1.9359      Epoch average loss: 1.8150
Total step : 32300      Batch loss: 1.7263      Epoch average loss: 1.8171
Total step : 32400      Batch loss: 1.8672      Epoch average loss: 1.8213
Total step : 32500      Batch loss: 2.1877      Epoch average loss: 1.8248
Total step : 32600      Batch loss: 1.4320      Epoch average loss: 1.8301
Total step : 32700      Batch loss: 1.8383      Epoch average loss: 1.8327
Total step : 32800      Batch loss: 2.0589      Epoch average loss: 1.8346
Total step : 32900      Batch loss: 1.9437      Epoch average loss: 1.8358
Total step : 33000      Batch loss: 1.8906      Epoch average loss: 1.8363
Total step : 33100      Batch loss: 1.8490      Epoch average loss: 1.8381
Total step : 33200      Batch loss: 2.2020      Epoch average loss: 1.8394
Total step : 33300      Batch loss: 1.8997      Epoch average loss: 1.8422

-----Epoch 13 开始测试-----

Epoch: 13    BLEU: 0.2389

-----Epoch 14 开始训练-----

Total step : 33400      Batch loss: 2.2416      Epoch average loss: 1.8912
Total step : 33500      Batch loss: 1.7300      Epoch average loss: 1.7489
Total step : 33600      Batch loss: 1.8597      Epoch average loss: 1.7474
Total step : 33700      Batch loss: 2.3554      Epoch average loss: 1.7484
Total step : 33800      Batch loss: 1.7593      Epoch average loss: 1.7479
Total step : 33900      Batch loss: 2.0860      Epoch average loss: 1.7638
Total step : 34000      Batch loss: 1.8942      Epoch average loss: 1.7687
Total step : 34100      Batch loss: 1.9652      Epoch average loss: 1.7688
Total step : 34200      Batch loss: 1.8853      Epoch average loss: 1.7695
Total step : 34300      Batch loss: 1.5884      Epoch average loss: 1.7730
Total step : 34400      Batch loss: 1.9260      Epoch average loss: 1.7784
Total step : 34500      Batch loss: 2.4703      Epoch average loss: 1.7773
Total step : 34600      Batch loss: 1.5020      Epoch average loss: 1.7820
Total step : 34700      Batch loss: 1.7187      Epoch average loss: 1.7843
Total step : 34800      Batch loss: 1.5160      Epoch average loss: 1.7853
Total step : 34900      Batch loss: 1.5933      Epoch average loss: 1.7885
Total step : 35000      Batch loss: 2.0354      Epoch average loss: 1.7928
Total step : 35100      Batch loss: 2.1474      Epoch average loss: 1.7937
Total step : 35200      Batch loss: 1.8052      Epoch average loss: 1.7942
Total step : 35300      Batch loss: 1.2906      Epoch average loss: 1.7950
Total step : 35400      Batch loss: 1.1160      Epoch average loss: 1.7969
Total step : 35500      Batch loss: 1.7594      Epoch average loss: 1.7983
Total step : 35600      Batch loss: 1.7961      Epoch average loss: 1.7998

-----Epoch 14 开始测试-----

Epoch: 14    BLEU: 0.2348

-----Epoch 15 开始训练-----

Total step : 35700      Batch loss: 1.5664      Epoch average loss: 1.6639
Total step : 35800      Batch loss: 1.8768      Epoch average loss: 1.6958
Total step : 35900      Batch loss: 1.4321      Epoch average loss: 1.6968
Total step : 36000      Batch loss: 1.7589      Epoch average loss: 1.7152
Total step : 36100      Batch loss: 2.0435      Epoch average loss: 1.7108
Total step : 36200      Batch loss: 2.0740      Epoch average loss: 1.7197
Total step : 36300      Batch loss: 2.1854      Epoch average loss: 1.7178
Total step : 36400      Batch loss: 1.6993      Epoch average loss: 1.7216
Total step : 36500      Batch loss: 2.0828      Epoch average loss: 1.7240
Total step : 36600      Batch loss: 1.7847      Epoch average loss: 1.7289
Total step : 36700      Batch loss: 1.3581      Epoch average loss: 1.7301
Total step : 36800      Batch loss: 2.7337      Epoch average loss: 1.7370
Total step : 36900      Batch loss: 1.6811      Epoch average loss: 1.7348
Total step : 37000      Batch loss: 1.7878      Epoch average loss: 1.7403
Total step : 37100      Batch loss: 1.5467      Epoch average loss: 1.7415
Total step : 37200      Batch loss: 1.5766      Epoch average loss: 1.7457
Total step : 37300      Batch loss: 1.6258      Epoch average loss: 1.7476
Total step : 37400      Batch loss: 1.5533      Epoch average loss: 1.7503
Total step : 37500      Batch loss: 1.6823      Epoch average loss: 1.7524
Total step : 37600      Batch loss: 2.1215      Epoch average loss: 1.7532
Total step : 37700      Batch loss: 1.6116      Epoch average loss: 1.7573
Total step : 37800      Batch loss: 1.5509      Epoch average loss: 1.7596
Total step : 37900      Batch loss: 1.3954      Epoch average loss: 1.7605

-----Epoch 15 开始测试-----

Epoch: 15    BLEU: 0.2406

-----Epoch 16 开始训练-----

Total step : 38000      Batch loss: 1.8082      Epoch average loss: 1.6647
Total step : 38100      Batch loss: 1.9464      Epoch average loss: 1.6669
Total step : 38200      Batch loss: 1.3689      Epoch average loss: 1.6617
Total step : 38300      Batch loss: 1.2885      Epoch average loss: 1.6734
Total step : 38400      Batch loss: 1.5926      Epoch average loss: 1.6771
