-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7398      Epoch average loss: 9.1253
Total step : 10000      Batch loss: 3.2045      Epoch average loss: 3.6266
Total step : 10100      Batch loss: 2.7393      Epoch average loss: 3.6170
Total step : 10200      Batch loss: 2.8499      Epoch average loss: 3.6072
Total step : 10300      Batch loss: 2.4678      Epoch average loss: 3.5977
Total step : 10400      Batch loss: 2.4546      Epoch average loss: 3.5894
Total step : 10500      Batch loss: 2.4567      Epoch average loss: 3.5802
Total step : 10600      Batch loss: 2.3761      Epoch average loss: 3.5710
Total step : 10700      Batch loss: 3.5247      Epoch average loss: 3.5621
Total step : 10800      Batch loss: 3.5160      Epoch average loss: 3.5538
Total step : 10900      Batch loss: 2.3597      Epoch average loss: 3.5454
Total step : 11000      Batch loss: 2.2226      Epoch average loss: 3.5373
Total step : 11100      Batch loss: 2.5749      Epoch average loss: 3.5291
Total step : 11200      Batch loss: 2.3319      Epoch average loss: 3.5213
Total step : 11300      Batch loss: 2.5140      Epoch average loss: 3.5133
Total step : 11400      Batch loss: 2.3365      Epoch average loss: 3.5052
Total step : 11500      Batch loss: 2.1990      Epoch average loss: 3.4974
Total step : 11600      Batch loss: 2.2596      Epoch average loss: 3.4902
Total step : 11700      Batch loss: 3.6646      Epoch average loss: 3.4820
Total step : 11800      Batch loss: 2.6087      Epoch average loss: 3.4745
Total step : 11900      Batch loss: 3.2665      Epoch average loss: 3.4665
Total step : 12000      Batch loss: 2.6211      Epoch average loss: 3.4597
Total step : 12100      Batch loss: 2.4350      Epoch average loss: 3.4524
Total step : 12200      Batch loss: 2.1321      Epoch average loss: 3.4456
Total step : 12300      Batch loss: 2.4329      Epoch average loss: 3.4393
Total step : 12400      Batch loss: 2.6717      Epoch average loss: 3.4326
Total step : 12500      Batch loss: 2.4301      Epoch average loss: 3.4255
Total step : 12600      Batch loss: 2.1343      Epoch average loss: 3.4187
Total step : 12700      Batch loss: 2.3547      Epoch average loss: 3.4114
Total step : 12800      Batch loss: 2.3502      Epoch average loss: 3.4051
Total step : 12900      Batch loss: 2.2665      Epoch average loss: 3.3979
Total step : 13000      Batch loss: 2.6934      Epoch average loss: 3.3921
Total step : 13100      Batch loss: 3.3303      Epoch average loss: 3.3854
Total step : 13200      Batch loss: 3.9658      Epoch average loss: 3.3790
Total step : 13300      Batch loss: 2.9621      Epoch average loss: 3.3730
Total step : 13400      Batch loss: 3.7425      Epoch average loss: 3.3665
Total step : 13500      Batch loss: 3.7670      Epoch average loss: 3.3606
Total step : 13600      Batch loss: 2.7282      Epoch average loss: 3.3545
Total step : 13700      Batch loss: 2.0924      Epoch average loss: 3.3487
Total step : 13800      Batch loss: 2.4330      Epoch average loss: 3.3425
Total step : 13900      Batch loss: 2.2177      Epoch average loss: 3.3360
Total step : 14000      Batch loss: 2.4641      Epoch average loss: 3.3304
Total step : 14100      Batch loss: 2.0784      Epoch average loss: 3.3245
Total step : 14200      Batch loss: 3.1574      Epoch average loss: 3.3189
Total step : 14300      Batch loss: 2.2067      Epoch average loss: 3.3134
Total step : 14400      Batch loss: 2.7196      Epoch average loss: 3.3079
Total step : 14500      Batch loss: 2.4845      Epoch average loss: 3.3033
Total step : 14600      Batch loss: 2.2784      Epoch average loss: 3.2975
Total step : 14700      Batch loss: 0.9136      Epoch average loss: 3.2917
Total step : 14800      Batch loss: 2.4651      Epoch average loss: 3.2862
Total step : 14900      Batch loss: 2.9533      Epoch average loss: 3.2812
Total step : 15000      Batch loss: 3.3410      Epoch average loss: 3.2761
Total step : 15100      Batch loss: 1.8988      Epoch average loss: 3.2708
Total step : 15200      Batch loss: 2.6426      Epoch average loss: 3.2660
Total step : 15300      Batch loss: 2.5651      Epoch average loss: 3.2614
Total step : 15400      Batch loss: 2.6196      Epoch average loss: 3.2563
Total step : 15500      Batch loss: 3.1545      Epoch average loss: 3.2510
Total step : 15600      Batch loss: 2.0979      Epoch average loss: 3.2468
Total step : 15700      Batch loss: 3.7713      Epoch average loss: 3.2414
Total step : 15800      Batch loss: 2.3193      Epoch average loss: 3.2365
Total step : 15900      Batch loss: 3.2989      Epoch average loss: 3.2320
Total step : 16000      Batch loss: 2.0697      Epoch average loss: 3.2272
Total step : 16100      Batch loss: 3.1293      Epoch average loss: 3.2219
Total step : 16200      Batch loss: 2.0457      Epoch average loss: 3.2171
Total step : 16300      Batch loss: 2.6674      Epoch average loss: 3.2122
Total step : 16400      Batch loss: 2.4689      Epoch average loss: 3.2078
Total step : 16500      Batch loss: 2.5617      Epoch average loss: 3.2029
Total step : 16600      Batch loss: 1.9202      Epoch average loss: 3.1982
Total step : 16700      Batch loss: 2.3033      Epoch average loss: 3.1945
Total step : 16800      Batch loss: 3.3270      Epoch average loss: 3.1899
Total step : 16900      Batch loss: 2.7393      Epoch average loss: 3.1854
Total step : 17000      Batch loss: 2.2915      Epoch average loss: 3.1808
Total step : 17100      Batch loss: 2.2807      Epoch average loss: 3.1766
Total step : 17200      Batch loss: 2.6281      Epoch average loss: 3.1720
Total step : 17300      Batch loss: 2.0890      Epoch average loss: 3.1674
Total step : 17400      Batch loss: 2.2299      Epoch average loss: 3.1632
Total step : 17500      Batch loss: 2.3066      Epoch average loss: 3.1594
Total step : 17600      Batch loss: 2.3878      Epoch average loss: 3.1554
Total step : 17700      Batch loss: 2.0465      Epoch average loss: 3.1512
Total step : 17800      Batch loss: 2.2006      Epoch average loss: 3.1475
Total step : 17900      Batch loss: 4.0913      Epoch average loss: 3.1433
Total step : 18000      Batch loss: 1.8852      Epoch average loss: 3.1391
Total step : 18100      Batch loss: 2.2338      Epoch average loss: 3.1351
Total step : 18200      Batch loss: 2.5237      Epoch average loss: 3.1319
Total step : 18300      Batch loss: 1.9060      Epoch average loss: 3.1285
Total step : 18400      Batch loss: 3.5053      Epoch average loss: 3.1246
Total step : 18500      Batch loss: 2.6287      Epoch average loss: 3.1211
Total step : 18600      Batch loss: 2.1436      Epoch average loss: 3.1170
Total step : 18700      Batch loss: 3.8763      Epoch average loss: 3.1130
Total step : 18800      Batch loss: 3.6889      Epoch average loss: 3.1093
Total step : 18900      Batch loss: 3.4818      Epoch average loss: 3.1056
Total step : 19000      Batch loss: 2.2214      Epoch average loss: 3.1015
Total step : 19100      Batch loss: 1.9871      Epoch average loss: 3.0977
Total step : 19200      Batch loss: 2.0066      Epoch average loss: 3.0936
Total step : 19300      Batch loss: 2.0894      Epoch average loss: 3.0902
Total step : 19400      Batch loss: 2.1339      Epoch average loss: 3.0870
Total step : 19500      Batch loss: 2.0642      Epoch average loss: 3.0833
Total step : 19600      Batch loss: 2.1395      Epoch average loss: 3.0796
Total step : 19700      Batch loss: 2.1736      Epoch average loss: 3.0759
Total step : 19800      Batch loss: 2.0279      Epoch average loss: 3.0727
Total step : 19900      Batch loss: 2.0464      Epoch average loss: 3.0689
Total step : 20000      Batch loss: 2.4230      Epoch average loss: 3.0655
Total step : 20100      Batch loss: 2.2937      Epoch average loss: 3.0620
Total step : 20200      Batch loss: 3.2499      Epoch average loss: 3.0587
Total step : 20300      Batch loss: 2.2049      Epoch average loss: 3.0554
Total step : 20400      Batch loss: 2.3080      Epoch average loss: 3.0521
Total step : 20500      Batch loss: 2.0146      Epoch average loss: 3.0489
Total step : 20600      Batch loss: 2.4798      Epoch average loss: 3.0457
Total step : 20700      Batch loss: 1.9475      Epoch average loss: 3.0421
Total step : 20800      Batch loss: 2.0439      Epoch average loss: 3.0390
Total step : 20900      Batch loss: 2.0795      Epoch average loss: 3.0361
Total step : 21000      Batch loss: 2.5706      Epoch average loss: 3.0329
Total step : 21100      Batch loss: 2.0637      Epoch average loss: 3.0303
Total step : 21200      Batch loss: 2.2462      Epoch average loss: 3.0267
Total step : 21300      Batch loss: 1.8219      Epoch average loss: 3.0237
Total step : 21400      Batch loss: 1.9315      Epoch average loss: 3.0201
Total step : 21500      Batch loss: 2.4633      Epoch average loss: 3.0168
Total step : 21600      Batch loss: 2.1424      Epoch average loss: 3.0138
Total step : 21700      Batch loss: 2.4930      Epoch average loss: 3.0110
Total step : 21800      Batch loss: 2.0336      Epoch average loss: 3.0078
Total step : 21900      Batch loss: 2.6779      Epoch average loss: 3.0050
Total step : 22000      Batch loss: 3.1750      Epoch average loss: 3.0018
Total step : 22100      Batch loss: 2.1074      Epoch average loss: 2.9992
Total step : 22200      Batch loss: 2.7941      Epoch average loss: 2.9965
Total step : 22300      Batch loss: 2.1589      Epoch average loss: 2.9937
Total step : 22400      Batch loss: 2.1530      Epoch average loss: 2.9902
Total step : 22500      Batch loss: 1.9882      Epoch average loss: 2.9874
Total step : 22600      Batch loss: 3.9665      Epoch average loss: 2.9848
Total step : 22700      Batch loss: 4.0460      Epoch average loss: 2.9822
Total step : 22800      Batch loss: 2.3166      Epoch average loss: 2.9794
Total step : 22900      Batch loss: 2.8765      Epoch average loss: 2.9764
Total step : 23000      Batch loss: 2.0220      Epoch average loss: 2.9737
Total step : 23100      Batch loss: 2.3490      Epoch average loss: 2.9709
Total step : 23200      Batch loss: 3.5765      Epoch average loss: 2.9683
Total step : 23300      Batch loss: 2.0711      Epoch average loss: 2.9655
Total step : 23400      Batch loss: 1.9857      Epoch average loss: 2.9627
Total step : 23500      Batch loss: 2.4121      Epoch average loss: 2.9598
Total step : 23600      Batch loss: 1.8715      Epoch average loss: 2.9574
Total step : 23700      Batch loss: 2.1585      Epoch average loss: 2.9548
Total step : 23800      Batch loss: 1.9425      Epoch average loss: 2.9525
Total step : 23900      Batch loss: 2.3210      Epoch average loss: 2.9498
Total step : 24000      Batch loss: 2.6406      Epoch average loss: 2.9472
Total step : 24100      Batch loss: 2.6017      Epoch average loss: 2.9447
Total step : 24200      Batch loss: 2.4850      Epoch average loss: 2.9421
Total step : 24300      Batch loss: 2.2216      Epoch average loss: 2.9396
Total step : 24400      Batch loss: 2.0335      Epoch average loss: 2.9369
Total step : 24500      Batch loss: 3.0824      Epoch average loss: 2.9345
Total step : 24600      Batch loss: 3.0364      Epoch average loss: 2.9323
Total step : 24700      Batch loss: 2.3233      Epoch average loss: 2.9298
Total step : 24800      Batch loss: 3.8624      Epoch average loss: 2.9270
Total step : 24900      Batch loss: 4.0522      Epoch average loss: 2.9246
Total step : 25000      Batch loss: 3.2888      Epoch average loss: 2.9219
Total step : 25100      Batch loss: 1.8169      Epoch average loss: 2.9195
Total step : 25200      Batch loss: 3.3029      Epoch average loss: 2.9170
Total step : 25300      Batch loss: 1.9617      Epoch average loss: 2.9147
Total step : 25400      Batch loss: 1.9539      Epoch average loss: 2.9122
Total step : 25500      Batch loss: 1.8431      Epoch average loss: 2.9098
Total step : 25600      Batch loss: 2.0332      Epoch average loss: 2.9073
Total step : 25700      Batch loss: 2.5203      Epoch average loss: 2.9050
Total step : 25800      Batch loss: 2.1277      Epoch average loss: 2.9027
Total step : 25900      Batch loss: 1.9387      Epoch average loss: 2.9005
Total step : 26000      Batch loss: 3.8126      Epoch average loss: 2.8980
Total step : 26100      Batch loss: 1.8946      Epoch average loss: 2.8958
Total step : 26200      Batch loss: 2.2980      Epoch average loss: 2.8935
Total step : 26300      Batch loss: 2.2953      Epoch average loss: 2.8913
Total step : 26400      Batch loss: 2.1823      Epoch average loss: 2.8893
Total step : 26500      Batch loss: 2.0976      Epoch average loss: 2.8868
Total step : 26600      Batch loss: 1.8135      Epoch average loss: 2.8846
Total step : 26700      Batch loss: 2.1107      Epoch average loss: 2.8823
Total step : 26800      Batch loss: 2.4408      Epoch average loss: 2.8800
Total step : 26900      Batch loss: 3.0293      Epoch average loss: 2.8777
Total step : 27000      Batch loss: 1.8811      Epoch average loss: 2.8756
Total step : 27100      Batch loss: 3.2830      Epoch average loss: 2.8737
Total step : 27200      Batch loss: 2.4253      Epoch average loss: 2.8715
Total step : 27300      Batch loss: 2.7383      Epoch average loss: 2.8693
Total step : 27400      Batch loss: 1.9971      Epoch average loss: 2.8670
Total step : 27500      Batch loss: 1.9852      Epoch average loss: 2.8649
Total step : 27600      Batch loss: 2.1423      Epoch average loss: 2.8629
Total step : 27700      Batch loss: 1.9536      Epoch average loss: 2.8611
Total step : 27800      Batch loss: 2.1609      Epoch average loss: 2.8586
Total step : 27900      Batch loss: 3.4968      Epoch average loss: 2.8566
Total step : 28000      Batch loss: 1.8457      Epoch average loss: 2.8549
Total step : 28100      Batch loss: 2.3742      Epoch average loss: 2.8529
Total step : 28200      Batch loss: 2.0040      Epoch average loss: 2.8508
Total step : 28300      Batch loss: 2.4400      Epoch average loss: 2.8489
Total step : 28400      Batch loss: 2.1757      Epoch average loss: 2.8469
Total step : 28500      Batch loss: 4.2104      Epoch average loss: 2.8450
Total step : 28600      Batch loss: 2.9728      Epoch average loss: 2.8430
Total step : 28700      Batch loss: 2.3686      Epoch average loss: 2.8411
Total step : 28800      Batch loss: 1.8648      Epoch average loss: 2.8394
Total step : 28900      Batch loss: 3.1388      Epoch average loss: 2.8372
Total step : 29000      Batch loss: 1.9799      Epoch average loss: 2.8351
Total step : 29100      Batch loss: 1.9744      Epoch average loss: 2.8333
Total step : 29200      Batch loss: 2.1601      Epoch average loss: 2.8313
Total step : 29300      Batch loss: 1.9173      Epoch average loss: 2.8294
Total step : 29400      Batch loss: 1.9713      Epoch average loss: 2.8275
Total step : 29500      Batch loss: 3.8929      Epoch average loss: 2.8255
Total step : 29600      Batch loss: 4.0491      Epoch average loss: 2.8238
Total step : 29700      Batch loss: 2.1609      Epoch average loss: 2.8218
Total step : 29800      Batch loss: 1.9389      Epoch average loss: 2.8200
Total step : 29900      Batch loss: 1.8446      Epoch average loss: 2.8184
Total step : 30000      Batch loss: 1.9963      Epoch average loss: 2.8162
Total step : 30100      Batch loss: 1.8850      Epoch average loss: 2.8144
Total step : 30200      Batch loss: 1.9853      Epoch average loss: 2.8127
Total step : 30300      Batch loss: 2.7417      Epoch average loss: 2.8113
Total step : 30400      Batch loss: 1.8228      Epoch average loss: 2.8091
Total step : 30500      Batch loss: 1.9737      Epoch average loss: 2.8071
Total step : 30600      Batch loss: 3.5166      Epoch average loss: 2.8054
Total step : 30700      Batch loss: 2.3350      Epoch average loss: 2.8034
Total step : 30800      Batch loss: 1.8548      Epoch average loss: 2.8019
Total step : 30900      Batch loss: 2.8269      Epoch average loss: 2.8001
Total step : 31000      Batch loss: 2.6986      Epoch average loss: 2.7986
Total step : 31100      Batch loss: 3.1065      Epoch average loss: 2.7967
Total step : 31200      Batch loss: 1.9332      Epoch average loss: 2.7952
Total step : 31300      Batch loss: 2.1387      Epoch average loss: 2.7938
Total step : 31400      Batch loss: 3.6989      Epoch average loss: 2.7920
Total step : 31500      Batch loss: 2.0075      Epoch average loss: 2.7904
Total step : 31600      Batch loss: 2.1103      Epoch average loss: 2.7886
Total step : 31700      Batch loss: 2.6987      Epoch average loss: 2.7870
Total step : 31800      Batch loss: 3.9679      Epoch average loss: 2.7856
Total step : 31900      Batch loss: 2.6531      Epoch average loss: 2.7838
Total step : 32000      Batch loss: 1.9565      Epoch average loss: 2.7821
Total step : 32100      Batch loss: 2.3239      Epoch average loss: 2.7803
Total step : 32200      Batch loss: 2.0175      Epoch average loss: 2.7789
Total step : 32300      Batch loss: 2.3483      Epoch average loss: 2.7772
Total step : 32400      Batch loss: 2.1214      Epoch average loss: 2.7754
Total step : 32500      Batch loss: 2.0984      Epoch average loss: 2.7735
Total step : 32600      Batch loss: 3.8413      Epoch average loss: 2.7718
Total step : 32700      Batch loss: 2.7614      Epoch average loss: 2.7701
Total step : 32800      Batch loss: 1.7668      Epoch average loss: 2.7687
Total step : 32900      Batch loss: 1.7504      Epoch average loss: 2.7672
Total step : 33000      Batch loss: 3.6922      Epoch average loss: 2.7657
Total step : 33100      Batch loss: 2.0334      Epoch average loss: 2.7641
Total step : 33200      Batch loss: 3.3385      Epoch average loss: 2.7625
Total step : 33300      Batch loss: 1.9238      Epoch average loss: 2.7609
Total step : 33400      Batch loss: 2.1564      Epoch average loss: 2.7596
Total step : 33500      Batch loss: 1.9063      Epoch average loss: 2.7579
Total step : 33600      Batch loss: 2.5887      Epoch average loss: 2.7565
Total step : 33700      Batch loss: 1.8902      Epoch average loss: 2.7550
Total step : 33800      Batch loss: 2.2996      Epoch average loss: 2.7535
Total step : 33900      Batch loss: 1.8793      Epoch average loss: 2.7518
Total step : 34000      Batch loss: 3.0560      Epoch average loss: 2.7500
Total step : 34100      Batch loss: 2.0784      Epoch average loss: 2.7486
Total step : 34200      Batch loss: 1.9327      Epoch average loss: 2.7469
Total step : 34300      Batch loss: 2.0951      Epoch average loss: 2.7456
Total step : 34400      Batch loss: 1.8518      Epoch average loss: 2.7441
Total step : 34500      Batch loss: 2.0862      Epoch average loss: 2.7429
Total step : 34600      Batch loss: 2.0781      Epoch average loss: 2.7414
Total step : 34700      Batch loss: 1.9875      Epoch average loss: 2.7399
Total step : 34800      Batch loss: 2.2681      Epoch average loss: 2.7386
Total step : 34900      Batch loss: 2.8309      Epoch average loss: 2.7370
Total step : 35000      Batch loss: 2.5919      Epoch average loss: 2.7355
Total step : 35100      Batch loss: 2.2300      Epoch average loss: 2.7339
Total step : 35200      Batch loss: 2.4512      Epoch average loss: 2.7325
Total step : 35300      Batch loss: 3.3367      Epoch average loss: 2.7312
Total step : 35400      Batch loss: 3.9619      Epoch average loss: 2.7300
Total step : 35500      Batch loss: 1.9607      Epoch average loss: 2.7284
Total step : 35600      Batch loss: 2.8594      Epoch average loss: 2.7269
Total step : 35700      Batch loss: 2.0132      Epoch average loss: 2.7253
Total step : 35800      Batch loss: 1.8803      Epoch average loss: 2.7241
Total step : 35900      Batch loss: 2.7990      Epoch average loss: 2.7226
Total step : 36000      Batch loss: 2.5460      Epoch average loss: 2.7212
Total step : 36100      Batch loss: 1.9580      Epoch average loss: 2.7196
Total step : 36200      Batch loss: 2.6176      Epoch average loss: 2.7183
Total step : 36300      Batch loss: 1.9409      Epoch average loss: 2.7169
Total step : 36400      Batch loss: 2.0021      Epoch average loss: 2.7157
Total step : 36500      Batch loss: 1.7837      Epoch average loss: 2.7142
Total step : 36600      Batch loss: 1.9584      Epoch average loss: 2.7126
Total step : 36700      Batch loss: 3.8514      Epoch average loss: 2.7114
Total step : 36800      Batch loss: 1.9789      Epoch average loss: 2.7102
Total step : 36900      Batch loss: 2.4831      Epoch average loss: 2.7089
Total step : 37000      Batch loss: 1.8230      Epoch average loss: 2.7074
Total step : 37100      Batch loss: 1.8300      Epoch average loss: 2.7064
Total step : 37200      Batch loss: 1.8805      Epoch average loss: 2.7052
Total step : 37300      Batch loss: 2.1059      Epoch average loss: 2.7038
Total step : 37400      Batch loss: 2.0640      Epoch average loss: 2.7025
Total step : 37500      Batch loss: 3.1377      Epoch average loss: 2.7011
Total step : 37600      Batch loss: 1.7365      Epoch average loss: 2.6999
Total step : 37700      Batch loss: 1.8148      Epoch average loss: 2.6984
Total step : 37800      Batch loss: 2.2900      Epoch average loss: 2.6973
Total step : 37900      Batch loss: 1.9268      Epoch average loss: 2.6959
Total step : 38000      Batch loss: 3.1556      Epoch average loss: 2.6948
Total step : 38100      Batch loss: 1.8002      Epoch average loss: 2.6933
Total step : 38200      Batch loss: 2.0919      Epoch average loss: 2.6920
Total step : 38300      Batch loss: 1.9107      Epoch average loss: 2.6908
Total step : 38400      Batch loss: 2.7492      Epoch average loss: 2.6894
Total step : 38500      Batch loss: 1.9483      Epoch average loss: 2.6882
Total step : 38600      Batch loss: 3.1380      Epoch average loss: 2.6872
Total step : 38700      Batch loss: 1.8108      Epoch average loss: 2.6859
Total step : 38800      Batch loss: 2.2666      Epoch average loss: 2.6848
Total step : 38900      Batch loss: 3.1601      Epoch average loss: 2.6834
Total step : 39000      Batch loss: 1.8672      Epoch average loss: 2.6822
Total step : 39100      Batch loss: 2.0729      Epoch average loss: 2.6811
Total step : 39200      Batch loss: 1.9983      Epoch average loss: 2.6799
Total step : 39300      Batch loss: 2.8177      Epoch average loss: 2.6789
Total step : 39400      Batch loss: 2.0528      Epoch average loss: 2.6776
Total step : 39500      Batch loss: 1.8224      Epoch average loss: 2.6763
Total step : 39600      Batch loss: 2.0948      Epoch average loss: 2.6750
Total step : 39700      Batch loss: 1.8872      Epoch average loss: 2.6738
Total step : 39800      Batch loss: 3.2176      Epoch average loss: 2.6728
Total step : 39900      Batch loss: 2.5568      Epoch average loss: 2.6713
Total step : 40000      Batch loss: 2.6638      Epoch average loss: 2.6703
Total step : 40100      Batch loss: 1.8458      Epoch average loss: 2.6691
Total step : 40200      Batch loss: 3.1169      Epoch average loss: 2.6682
Total step : 40300      Batch loss: 1.9839      Epoch average loss: 2.6672
Total step : 40400      Batch loss: 1.7193      Epoch average loss: 2.6659
Total step : 40500      Batch loss: 2.4511      Epoch average loss: 2.6645
Total step : 40600      Batch loss: 1.7839      Epoch average loss: 2.6635
Total step : 40700      Batch loss: 3.6212      Epoch average loss: 2.6623
Total step : 40800      Batch loss: 1.5476      Epoch average loss: 2.6609
Total step : 40900      Batch loss: 2.7005      Epoch average loss: 2.6603
Total step : 41000      Batch loss: 2.3918      Epoch average loss: 2.6592
