-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7573      Epoch average loss: 8.9668
Total step : 7300      Batch loss: 3.0185      Epoch average loss: 2.7100
Total step : 7400      Batch loss: 3.0277      Epoch average loss: 2.7053

-----Epoch 2 开始测试-----

Epoch: 2    BLEU: 0.1958

-----Epoch 3 开始训练-----

Total step : 7500      Batch loss: 2.6086      Epoch average loss: 2.4635
Total step : 7600      Batch loss: 2.5022      Epoch average loss: 2.4550
Total step : 7700      Batch loss: 2.3789      Epoch average loss: 2.4656
Total step : 7800      Batch loss: 2.6940      Epoch average loss: 2.4965
Total step : 7900      Batch loss: 2.4966      Epoch average loss: 2.4833
Total step : 8000      Batch loss: 2.5917      Epoch average loss: 2.4782
Total step : 8100      Batch loss: 2.5526      Epoch average loss: 2.4788
Total step : 8200      Batch loss: 2.3155      Epoch average loss: 2.4791
Total step : 8300      Batch loss: 2.1392      Epoch average loss: 2.4766
Total step : 8400      Batch loss: 2.1920      Epoch average loss: 2.4737
Total step : 8500      Batch loss: 2.6379      Epoch average loss: 2.4730
Total step : 8600      Batch loss: 2.6422      Epoch average loss: 2.4736
Total step : 8700      Batch loss: 2.4714      Epoch average loss: 2.4676
Total step : 8800      Batch loss: 1.2101      Epoch average loss: 2.4674
Total step : 8900      Batch loss: 2.0337      Epoch average loss: 2.4677
Total step : 9000      Batch loss: 2.4232      Epoch average loss: 2.4651
Total step : 9100      Batch loss: 2.4164      Epoch average loss: 2.4647
Total step : 9200      Batch loss: 2.4386      Epoch average loss: 2.4615
Total step : 9300      Batch loss: 2.4308      Epoch average loss: 2.4624
Total step : 9400      Batch loss: 2.5818      Epoch average loss: 2.4594
Total step : 9500      Batch loss: 2.0984      Epoch average loss: 2.4581
Total step : 9600      Batch loss: 1.6996      Epoch average loss: 2.4566
Total step : 9700      Batch loss: 2.4528      Epoch average loss: 2.4563
Total step : 9800      Batch loss: 2.7879      Epoch average loss: 2.4556
Total step : 9900      Batch loss: 2.5142      Epoch average loss: 2.4533

-----Epoch 3 开始测试-----

Epoch: 3    BLEU: 0.1880

-----Epoch 4 开始训练-----

Total step : 10000      Batch loss: 2.5558      Epoch average loss: 2.2799
Total step : 10100      Batch loss: 2.1973      Epoch average loss: 2.2952
Total step : 10200      Batch loss: 2.2558      Epoch average loss: 2.3082
Total step : 10300      Batch loss: 1.4979      Epoch average loss: 2.3075
Total step : 10400      Batch loss: 1.9028      Epoch average loss: 2.3076
Total step : 10500      Batch loss: 1.9343      Epoch average loss: 2.3135
Total step : 10600      Batch loss: 2.7374      Epoch average loss: 2.3197
Total step : 10700      Batch loss: 2.5366      Epoch average loss: 2.3159
Total step : 10800      Batch loss: 2.5576      Epoch average loss: 2.3172
Total step : 10900      Batch loss: 2.2505      Epoch average loss: 2.3191
Total step : 11000      Batch loss: 2.4012      Epoch average loss: 2.3194
Total step : 11100      Batch loss: 2.3508      Epoch average loss: 2.3191
Total step : 11200      Batch loss: 1.9715      Epoch average loss: 2.3212
Total step : 11300      Batch loss: 2.3372      Epoch average loss: 2.3206
Total step : 11400      Batch loss: 2.0611      Epoch average loss: 2.3210
Total step : 11500      Batch loss: 2.3563      Epoch average loss: 2.3206
Total step : 11600      Batch loss: 1.9943      Epoch average loss: 2.3202
Total step : 11700      Batch loss: 2.2087      Epoch average loss: 2.3210
Total step : 11800      Batch loss: 1.6977      Epoch average loss: 2.3204
Total step : 11900      Batch loss: 2.5687      Epoch average loss: 2.3203
Total step : 12000      Batch loss: 2.4481      Epoch average loss: 2.3194
Total step : 12100      Batch loss: 2.3642      Epoch average loss: 2.3186
Total step : 12200      Batch loss: 1.4263      Epoch average loss: 2.3184
Total step : 12300      Batch loss: 2.0473      Epoch average loss: 2.3167
Total step : 12400      Batch loss: 2.5407      Epoch average loss: 2.3179

-----Epoch 4 开始测试-----

Epoch: 4    BLEU: 0.2208

-----Epoch 5 开始训练-----

Total step : 12500      Batch loss: 2.2358      Epoch average loss: 2.1865
Total step : 12600      Batch loss: 2.0991      Epoch average loss: 2.1911
Total step : 12700      Batch loss: 2.3924      Epoch average loss: 2.2094
Total step : 12800      Batch loss: 2.1670      Epoch average loss: 2.2093
Total step : 12900      Batch loss: 2.4418      Epoch average loss: 2.2098
Total step : 13000      Batch loss: 1.9150      Epoch average loss: 2.2092
Total step : 13100      Batch loss: 2.2413      Epoch average loss: 2.2160
Total step : 13200      Batch loss: 1.9104      Epoch average loss: 2.2208
Total step : 13300      Batch loss: 2.5273      Epoch average loss: 2.2214
Total step : 13400      Batch loss: 2.2306      Epoch average loss: 2.2273
Total step : 13500      Batch loss: 2.1303      Epoch average loss: 2.2244
Total step : 13600      Batch loss: 2.3666      Epoch average loss: 2.2252
Total step : 13700      Batch loss: 2.3419      Epoch average loss: 2.2285
Total step : 13800      Batch loss: 2.4552      Epoch average loss: 2.2262
Total step : 13900      Batch loss: 2.0488      Epoch average loss: 2.2272
Total step : 14000      Batch loss: 2.4836      Epoch average loss: 2.2271
Total step : 14100      Batch loss: 2.3297      Epoch average loss: 2.2298
Total step : 14200      Batch loss: 2.3196      Epoch average loss: 2.2276
Total step : 14300      Batch loss: 2.4503      Epoch average loss: 2.2280
Total step : 14400      Batch loss: 2.3927      Epoch average loss: 2.2272
Total step : 14500      Batch loss: 2.3601      Epoch average loss: 2.2268
Total step : 14600      Batch loss: 2.0632      Epoch average loss: 2.2276
Total step : 14700      Batch loss: 1.9119      Epoch average loss: 2.2263
Total step : 14800      Batch loss: 2.3260      Epoch average loss: 2.2278
Total step : 14900      Batch loss: 2.5781      Epoch average loss: 2.2288

-----Epoch 5 开始测试-----

Epoch: 5    BLEU: 0.2328

-----Epoch 6 开始训练-----

Total step : 15000      Batch loss: 1.9848      Epoch average loss: 2.0465
Total step : 15100      Batch loss: 2.2963      Epoch average loss: 2.1390
Total step : 15200      Batch loss: 2.4668      Epoch average loss: 2.1353
Total step : 15300      Batch loss: 2.2268      Epoch average loss: 2.1419
Total step : 15400      Batch loss: 2.1659      Epoch average loss: 2.1376
Total step : 15500      Batch loss: 2.3209      Epoch average loss: 2.1453
Total step : 15600      Batch loss: 2.3056      Epoch average loss: 2.1481
Total step : 15700      Batch loss: 2.2083      Epoch average loss: 2.1476
Total step : 15800      Batch loss: 2.3172      Epoch average loss: 2.1494
Total step : 15900      Batch loss: 2.4571      Epoch average loss: 2.1476
Total step : 16000      Batch loss: 1.4995      Epoch average loss: 2.1499
Total step : 16100      Batch loss: 2.1831      Epoch average loss: 2.1538
Total step : 16200      Batch loss: 1.5486      Epoch average loss: 2.1554
Total step : 16300      Batch loss: 2.2163      Epoch average loss: 2.1543
Total step : 16400      Batch loss: 2.0678      Epoch average loss: 2.1542
Total step : 16500      Batch loss: 2.3203      Epoch average loss: 2.1560
Total step : 16600      Batch loss: 2.0465      Epoch average loss: 2.1567
Total step : 16700      Batch loss: 2.3413      Epoch average loss: 2.1564
Total step : 16800      Batch loss: 2.1007      Epoch average loss: 2.1559
Total step : 16900      Batch loss: 1.8529      Epoch average loss: 2.1560
Total step : 17000      Batch loss: 2.3607      Epoch average loss: 2.1582
Total step : 17100      Batch loss: 2.2306      Epoch average loss: 2.1585
Total step : 17200      Batch loss: 2.3401      Epoch average loss: 2.1597
Total step : 17300      Batch loss: 1.9396      Epoch average loss: 2.1601
Total step : 17400      Batch loss: 2.1314      Epoch average loss: 2.1608

-----Epoch 6 开始测试-----

Epoch: 6    BLEU: 0.2319

-----Epoch 7 开始训练-----

Total step : 17500      Batch loss: 2.0635      Epoch average loss: 2.1019
Total step : 17600      Batch loss: 2.1604      Epoch average loss: 2.0815
Total step : 17700      Batch loss: 2.3163      Epoch average loss: 2.0925
Total step : 17800      Batch loss: 2.3307      Epoch average loss: 2.0879
Total step : 17900      Batch loss: 2.5028      Epoch average loss: 2.0855
Total step : 18000      Batch loss: 2.2691      Epoch average loss: 2.0917
Total step : 18100      Batch loss: 2.1208      Epoch average loss: 2.0912
Total step : 18200      Batch loss: 1.9894      Epoch average loss: 2.0924
Total step : 18300      Batch loss: 2.2222      Epoch average loss: 2.0923
Total step : 18400      Batch loss: 2.0499      Epoch average loss: 2.0947
Total step : 18500      Batch loss: 2.0982      Epoch average loss: 2.0971
Total step : 18600      Batch loss: 1.9329      Epoch average loss: 2.0967
Total step : 18700      Batch loss: 1.2999      Epoch average loss: 2.0972
Total step : 18800      Batch loss: 2.0870      Epoch average loss: 2.1017
Total step : 18900      Batch loss: 2.1004      Epoch average loss: 2.0989
Total step : 19000      Batch loss: 2.4601      Epoch average loss: 2.1012
Total step : 19100      Batch loss: 1.7621      Epoch average loss: 2.1034
Total step : 19200      Batch loss: 2.3576      Epoch average loss: 2.1036
Total step : 19300      Batch loss: 2.3478      Epoch average loss: 2.1048
Total step : 19400      Batch loss: 2.2313      Epoch average loss: 2.1040
Total step : 19500      Batch loss: 2.0686      Epoch average loss: 2.1063
Total step : 19600      Batch loss: 2.0905      Epoch average loss: 2.1066
Total step : 19700      Batch loss: 1.4321      Epoch average loss: 2.1065
Total step : 19800      Batch loss: 2.2656      Epoch average loss: 2.1081
Total step : 19900      Batch loss: 2.3575      Epoch average loss: 2.1084

-----Epoch 7 开始测试-----

Epoch: 7    BLEU: 0.2363

-----Epoch 8 开始训练-----

Total step : 20000      Batch loss: 2.1897      Epoch average loss: 2.0669
Total step : 20100      Batch loss: 2.1444      Epoch average loss: 2.0153
Total step : 20200      Batch loss: 2.0277      Epoch average loss: 2.0278
Total step : 20300      Batch loss: 2.2167      Epoch average loss: 2.0500
Total step : 20400      Batch loss: 1.8090      Epoch average loss: 2.0488
Total step : 20500      Batch loss: 2.2012      Epoch average loss: 2.0410
Total step : 20600      Batch loss: 1.3619      Epoch average loss: 2.0462
Total step : 20700      Batch loss: 2.4078      Epoch average loss: 2.0509
Total step : 20800      Batch loss: 2.1497      Epoch average loss: 2.0506
Total step : 20900      Batch loss: 2.3849      Epoch average loss: 2.0521
Total step : 21000      Batch loss: 1.7948      Epoch average loss: 2.0506
Total step : 21100      Batch loss: 1.9057      Epoch average loss: 2.0538
Total step : 21200      Batch loss: 2.1957      Epoch average loss: 2.0554
Total step : 21300      Batch loss: 2.3797      Epoch average loss: 2.0549
Total step : 21400      Batch loss: 1.9288      Epoch average loss: 2.0574
Total step : 21500      Batch loss: 1.6565      Epoch average loss: 2.0572
Total step : 21600      Batch loss: 2.0468      Epoch average loss: 2.0596
Total step : 21700      Batch loss: 1.9715      Epoch average loss: 2.0604
Total step : 21800      Batch loss: 2.2341      Epoch average loss: 2.0614
Total step : 21900      Batch loss: 1.8034      Epoch average loss: 2.0619
Total step : 22000      Batch loss: 1.6440      Epoch average loss: 2.0650
Total step : 22100      Batch loss: 2.6197      Epoch average loss: 2.0650
Total step : 22200      Batch loss: 2.1731      Epoch average loss: 2.0651
Total step : 22300      Batch loss: 2.1968      Epoch average loss: 2.0655
Total step : 22400      Batch loss: 2.3104      Epoch average loss: 2.0655

-----Epoch 8 开始测试-----

Epoch: 8    BLEU: 0.2269

-----Epoch 9 开始训练-----

Total step : 22500      Batch loss: 1.8946      Epoch average loss: 1.9969
Total step : 22600      Batch loss: 2.4912      Epoch average loss: 1.9995
Total step : 22700      Batch loss: 2.1412      Epoch average loss: 2.0054
Total step : 22800      Batch loss: 1.9962      Epoch average loss: 2.0073
Total step : 22900      Batch loss: 2.2941      Epoch average loss: 2.0140
Total step : 23000      Batch loss: 1.4949      Epoch average loss: 2.0127
Total step : 23100      Batch loss: 1.9342      Epoch average loss: 2.0156
Total step : 23200      Batch loss: 1.8467      Epoch average loss: 2.0142
Total step : 23300      Batch loss: 2.0826      Epoch average loss: 2.0100
Total step : 23400      Batch loss: 2.2238      Epoch average loss: 2.0118
Total step : 23500      Batch loss: 1.9141      Epoch average loss: 2.0167
Total step : 23600      Batch loss: 2.0431      Epoch average loss: 2.0183
Total step : 23700      Batch loss: 2.1065      Epoch average loss: 2.0194
Total step : 23800      Batch loss: 2.2118      Epoch average loss: 2.0203
Total step : 23900      Batch loss: 2.1670      Epoch average loss: 2.0192
Total step : 24000      Batch loss: 1.9887      Epoch average loss: 2.0206
Total step : 24100      Batch loss: 2.1073      Epoch average loss: 2.0224
Total step : 24200      Batch loss: 1.7474      Epoch average loss: 2.0222
Total step : 24300      Batch loss: 2.0028      Epoch average loss: 2.0232
Total step : 24400      Batch loss: 2.5349      Epoch average loss: 2.0246
Total step : 24500      Batch loss: 2.0753      Epoch average loss: 2.0246
Total step : 24600      Batch loss: 1.5904      Epoch average loss: 2.0269
Total step : 24700      Batch loss: 2.1405      Epoch average loss: 2.0275
Total step : 24800      Batch loss: 2.0213      Epoch average loss: 2.0289
Total step : 24900      Batch loss: 2.2636      Epoch average loss: 2.0297

-----Epoch 9 开始测试-----

Epoch: 9    BLEU: 0.2429

-----Epoch 10 开始训练-----

Total step : 25000      Batch loss: 1.5740      Epoch average loss: 1.9702
Total step : 25100      Batch loss: 2.4527      Epoch average loss: 1.9768
Total step : 25200      Batch loss: 2.2604      Epoch average loss: 1.9748
Total step : 25300      Batch loss: 1.9627      Epoch average loss: 1.9693
Total step : 25400      Batch loss: 2.0012      Epoch average loss: 1.9776
Total step : 25500      Batch loss: 2.1046      Epoch average loss: 1.9775
Total step : 25600      Batch loss: 1.5587      Epoch average loss: 1.9814
Total step : 25700      Batch loss: 2.2862      Epoch average loss: 1.9853
Total step : 25800      Batch loss: 1.7860      Epoch average loss: 1.9896
Total step : 25900      Batch loss: 1.8713      Epoch average loss: 1.9877
Total step : 26000      Batch loss: 1.8801      Epoch average loss: 1.9875
Total step : 26100      Batch loss: 2.2887      Epoch average loss: 1.9889
Total step : 26200      Batch loss: 1.6260      Epoch average loss: 1.9896
Total step : 26300      Batch loss: 2.0497      Epoch average loss: 1.9909
Total step : 26400      Batch loss: 1.8508      Epoch average loss: 1.9903
Total step : 26500      Batch loss: 2.0035      Epoch average loss: 1.9899
Total step : 26600      Batch loss: 2.0192      Epoch average loss: 1.9886
Total step : 26700      Batch loss: 2.5030      Epoch average loss: 1.9928
Total step : 26800      Batch loss: 2.1610      Epoch average loss: 1.9932
Total step : 26900      Batch loss: 1.9358      Epoch average loss: 1.9931
Total step : 27000      Batch loss: 1.7183      Epoch average loss: 1.9954
Total step : 27100      Batch loss: 1.4449      Epoch average loss: 1.9964
Total step : 27200      Batch loss: 2.2364      Epoch average loss: 1.9973
Total step : 27300      Batch loss: 2.4050      Epoch average loss: 1.9981

-----Epoch 10 开始测试-----

Epoch: 10    BLEU: 0.2353

-----Epoch 11 开始训练-----

Total step : 27400      Batch loss: 1.2370      Epoch average loss: 1.7077
Total step : 27500      Batch loss: 1.8985      Epoch average loss: 1.9319
Total step : 27600      Batch loss: 2.4466      Epoch average loss: 1.9373
Total step : 27700      Batch loss: 2.1941      Epoch average loss: 1.9551
Total step : 27800      Batch loss: 1.9085      Epoch average loss: 1.9540
Total step : 27900      Batch loss: 2.0380      Epoch average loss: 1.9524
Total step : 28000      Batch loss: 2.1923      Epoch average loss: 1.9543
Total step : 28100      Batch loss: 2.0862      Epoch average loss: 1.9574
Total step : 28200      Batch loss: 1.8828      Epoch average loss: 1.9563
Total step : 28300      Batch loss: 2.0683      Epoch average loss: 1.9567
Total step : 28400      Batch loss: 1.9716      Epoch average loss: 1.9587
Total step : 28500      Batch loss: 2.2396      Epoch average loss: 1.9568
Total step : 28600      Batch loss: 2.3006      Epoch average loss: 1.9601
Total step : 28700      Batch loss: 2.0260      Epoch average loss: 1.9630
Total step : 28800      Batch loss: 1.6129      Epoch average loss: 1.9622
Total step : 28900      Batch loss: 2.1514      Epoch average loss: 1.9624
Total step : 29000      Batch loss: 2.2596      Epoch average loss: 1.9636
Total step : 29100      Batch loss: 1.9703      Epoch average loss: 1.9656
Total step : 29200      Batch loss: 1.9544      Epoch average loss: 1.9638
Total step : 29300      Batch loss: 1.9651      Epoch average loss: 1.9666
Total step : 29400      Batch loss: 1.8888      Epoch average loss: 1.9663
Total step : 29500      Batch loss: 1.8998      Epoch average loss: 1.9670
Total step : 29600      Batch loss: 1.8286      Epoch average loss: 1.9671
Total step : 29700      Batch loss: 2.2114      Epoch average loss: 1.9682
Total step : 29800      Batch loss: 1.9101      Epoch average loss: 1.9697

-----Epoch 11 开始测试-----

Epoch: 11    BLEU: 0.2372

-----Epoch 12 开始训练-----

Total step : 29900      Batch loss: 1.7991      Epoch average loss: 1.8286
Total step : 30000      Batch loss: 2.0461      Epoch average loss: 1.9100
Total step : 30100      Batch loss: 2.3278      Epoch average loss: 1.9144
Total step : 30200      Batch loss: 1.9527      Epoch average loss: 1.9039
Total step : 30300      Batch loss: 2.1557      Epoch average loss: 1.9062
Total step : 30400      Batch loss: 1.9905      Epoch average loss: 1.9109
Total step : 30500      Batch loss: 1.8680      Epoch average loss: 1.9147
Total step : 30600      Batch loss: 2.0377      Epoch average loss: 1.9189
Total step : 30700      Batch loss: 1.1918      Epoch average loss: 1.9225
Total step : 30800      Batch loss: 2.2053      Epoch average loss: 1.9255
Total step : 30900      Batch loss: 2.2139      Epoch average loss: 1.9263
Total step : 31000      Batch loss: 1.8397      Epoch average loss: 1.9288
Total step : 31100      Batch loss: 1.8993      Epoch average loss: 1.9309
Total step : 31200      Batch loss: 1.7128      Epoch average loss: 1.9330
Total step : 31300      Batch loss: 2.0235      Epoch average loss: 1.9336
Total step : 31400      Batch loss: 1.5963      Epoch average loss: 1.9345
Total step : 31500      Batch loss: 2.1277      Epoch average loss: 1.9370
Total step : 31600      Batch loss: 2.1249      Epoch average loss: 1.9389
Total step : 31700      Batch loss: 1.5064      Epoch average loss: 1.9378
Total step : 31800      Batch loss: 1.9856      Epoch average loss: 1.9403
Total step : 31900      Batch loss: 2.0283      Epoch average loss: 1.9399
Total step : 32000      Batch loss: 2.2549      Epoch average loss: 1.9420
Total step : 32100      Batch loss: 1.9225      Epoch average loss: 1.9438
Total step : 32200      Batch loss: 2.1362      Epoch average loss: 1.9441
Total step : 32300      Batch loss: 1.9812      Epoch average loss: 1.9452

-----Epoch 12 开始测试-----

Epoch: 12    BLEU: 0.2441

-----Epoch 13 开始训练-----

Total step : 32400      Batch loss: 1.2527      Epoch average loss: 1.9255
Total step : 32500      Batch loss: 1.7682      Epoch average loss: 1.9191
Total step : 32600      Batch loss: 2.2913      Epoch average loss: 1.9086
Total step : 32700      Batch loss: 1.7913      Epoch average loss: 1.9034
Total step : 32800      Batch loss: 1.9551      Epoch average loss: 1.8987
Total step : 32900      Batch loss: 2.0915      Epoch average loss: 1.9013
Total step : 33000      Batch loss: 1.9912      Epoch average loss: 1.8991
Total step : 33100      Batch loss: 2.1878      Epoch average loss: 1.9032
Total step : 33200      Batch loss: 1.9898      Epoch average loss: 1.9045
Total step : 33300      Batch loss: 2.0262      Epoch average loss: 1.9081
Total step : 33400      Batch loss: 2.1013      Epoch average loss: 1.9071
Total step : 33500      Batch loss: 1.7002      Epoch average loss: 1.9087
Total step : 33600      Batch loss: 1.6522      Epoch average loss: 1.9099
Total step : 33700      Batch loss: 1.7301      Epoch average loss: 1.9093
Total step : 33800      Batch loss: 1.9396      Epoch average loss: 1.9114
Total step : 33900      Batch loss: 1.9256      Epoch average loss: 1.9140
Total step : 34000      Batch loss: 1.5139      Epoch average loss: 1.9151
Total step : 34100      Batch loss: 1.6179      Epoch average loss: 1.9162
Total step : 34200      Batch loss: 1.5495      Epoch average loss: 1.9173
Total step : 34300      Batch loss: 1.9222      Epoch average loss: 1.9190
Total step : 34400      Batch loss: 1.9506      Epoch average loss: 1.9197
Total step : 34500      Batch loss: 2.0800      Epoch average loss: 1.9218
Total step : 34600      Batch loss: 2.1743      Epoch average loss: 1.9210
Total step : 34700      Batch loss: 2.1027      Epoch average loss: 1.9225
Total step : 34800      Batch loss: 1.6234      Epoch average loss: 1.9236

-----Epoch 13 开始测试-----

Epoch: 13    BLEU: 0.2476

-----Epoch 14 开始训练-----

Total step : 34900      Batch loss: 1.3832      Epoch average loss: 1.8672
Total step : 35000      Batch loss: 1.4282      Epoch average loss: 1.8808
Total step : 35100      Batch loss: 1.5085      Epoch average loss: 1.8699
Total step : 35200      Batch loss: 1.8175      Epoch average loss: 1.8777
Total step : 35300      Batch loss: 2.0066      Epoch average loss: 1.8690
Total step : 35400      Batch loss: 1.3875      Epoch average loss: 1.8731
Total step : 35500      Batch loss: 2.0409      Epoch average loss: 1.8808
Total step : 35600      Batch loss: 2.3214      Epoch average loss: 1.8821
Total step : 35700      Batch loss: 1.7703      Epoch average loss: 1.8855
Total step : 35800      Batch loss: 2.1098      Epoch average loss: 1.8858
Total step : 35900      Batch loss: 1.9987      Epoch average loss: 1.8884
Total step : 36000      Batch loss: 1.5045      Epoch average loss: 1.8891
Total step : 36100      Batch loss: 1.5050      Epoch average loss: 1.8895
Total step : 36200      Batch loss: 2.0670      Epoch average loss: 1.8905
Total step : 36300      Batch loss: 2.1433      Epoch average loss: 1.8929
Total step : 36400      Batch loss: 1.7547      Epoch average loss: 1.8941
Total step : 36500      Batch loss: 2.3209      Epoch average loss: 1.8941
Total step : 36600      Batch loss: 2.0593      Epoch average loss: 1.8944
Total step : 36700      Batch loss: 1.7164      Epoch average loss: 1.8957
Total step : 36800      Batch loss: 2.1189      Epoch average loss: 1.8981
Total step : 36900      Batch loss: 1.7415      Epoch average loss: 1.8989
Total step : 37000      Batch loss: 1.6328      Epoch average loss: 1.8991
Total step : 37100      Batch loss: 2.2618      Epoch average loss: 1.9007
Total step : 37200      Batch loss: 1.7474      Epoch average loss: 1.9021
Total step : 37300      Batch loss: 1.4617      Epoch average loss: 1.9012

-----Epoch 14 开始测试-----

Epoch: 14    BLEU: 0.2357

-----Epoch 15 开始训练-----

Total step : 37400      Batch loss: 2.2345      Epoch average loss: 1.8769
Total step : 37500      Batch loss: 1.9122      Epoch average loss: 1.8638
Total step : 37600      Batch loss: 1.7033      Epoch average loss: 1.8559
Total step : 37700      Batch loss: 1.9457      Epoch average loss: 1.8549
Total step : 37800      Batch loss: 1.7031      Epoch average loss: 1.8591
Total step : 37900      Batch loss: 1.8115      Epoch average loss: 1.8663
Total step : 38000      Batch loss: 1.7869      Epoch average loss: 1.8723
Total step : 38100      Batch loss: 2.0939      Epoch average loss: 1.8746
Total step : 38200      Batch loss: 1.4466      Epoch average loss: 1.8708
Total step : 38300      Batch loss: 2.1095      Epoch average loss: 1.8733
Total step : 38400      Batch loss: 2.2401      Epoch average loss: 1.8731
Total step : 38500      Batch loss: 1.8796      Epoch average loss: 1.8764
